Exit Status,Has CPA,Years Experience,Current Salary + Bonus,Years Public Before Exit,Current Industry,What COL is your region?,Gender,Line of Service,Average Hours Per Week
I have already exited from a Big 4 Accounting firm,Yes,7.0,130000.0,5.0,Medical,Medium,Female,Audit,40.0
I have already exited from a Big 4 Accounting firm,No,9.75,250000.0,3.5,Finance,High,Female,Tax,
I have never worked at a public accounting firm,No,10.0,85000.0,,Other,Medium,Female,Other,
I am currently working at a mid-tier or local accounting firm,Yes,10.0,95000.0,,Public Accounting,Low,Male,Tax,
I have already exited from a Big 4 Accounting firm,Yes,7.0,150000.0,5.0,Other,High,Male,Audit,47.0
I have already exited from a mid-tier or local accounting firm,No,10.0,77500.0,2.5,Other,High,Male,Audit,
I have never worked at a public accounting firm,No,10.0,110000.0,,Construction,Medium,Male,Other,
I am currently working at a Big 4 accounting firm,No,10.0,145000.0,,Public Accounting,Medium,Male,Tax,
I have never worked at a public accounting firm,No,10.0,156800.0,,Medical,High,Male,Audit,
I am currently working at a mid-tier or local accounting firm,Yes,10.0,180000.0,,Public Accounting,Medium,Undisclosed,Tax,
I am currently working at a mid-tier or local accounting firm,No,10.0,87000.0,,Public Accounting,Medium,Male,Audit,45.0
I have never worked at a public accounting firm,Yes,10.0,205000.0,,Technology,High,Male,Other,40.0
I have never worked at a public accounting firm,Yes,10.0,125000.0,,Technology,High,Female,Other,40.0
I am currently working at a Big 4 accounting firm,Yes,10.0,160000.0,,Public Accounting,High,Male,Audit,45.0
I am currently working at a mid-tier or local accounting firm,Yes,10.0,100000.0,,Public Accounting,High,Male,Audit,45.0
I am currently working at a Big 4 accounting firm,Yes,10.0,185000.0,,Public Accounting,High,Male,Tax,45.0
I have already exited from a mid-tier or local accounting firm,Yes,10.0,130000.0,9.0,Other,High,Male,Audit,40.0
I have already exited from a mid-tier or local accounting firm,Yes,10.0,74000.0,6.0,Finance,Low,Male,Audit,40.0
I have never worked at a public accounting firm,No,11.0,162000.0,,Technology,High,Male,Other,
I am currently working at a mid-tier or local accounting firm,Yes,11.0,150000.0,,Public Accounting,High,Male,Tax,
I have never worked at a public accounting firm,No,11.0,143000.0,,Manufacturing,Low,Male,Audit,50.0
I am currently working at a mid-tier or local accounting firm,Yes,11.0,96000.0,,Public Accounting,Medium,Male,Audit,45.0
I have never worked at a public accounting firm,No,11.0,125000.0,,Technology,High,Male,Audit,40.0
I am currently working at a mid-tier or local accounting firm,Yes,11.0,88000.0,,Public Accounting,Medium,Male,Tax,40.0
I have already exited from a Big 4 Accounting firm,Yes,7.0,115000.0,5.0,Other,High,Male,Advisory,40.0
I have already exited from a mid-tier or local accounting firm,Yes,11.0,125000.0,7.0,Finance,Medium,Male,Audit,45.0
I am currently working at a mid-tier or local accounting firm,Yes,11.0,95000.0,,Public Accounting,Medium,Male,Tax,45.0
I am currently working at a mid-tier or local accounting firm,Yes,12.0,102000.0,,Public Accounting,Medium,Male,Tax,
I have never worked at a public accounting firm,No,12.0,130000.0,,Technology,High,Male,Other,
I am currently working at a mid-tier or local accounting firm,Yes,12.0,155000.0,,Public Accounting,Low,Male,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,12.0,130000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a mid-tier or local accounting firm,Yes,12.0,125000.0,,Public Accounting,Low,Female,Audit,
I am currently working at a mid-tier or local accounting firm,Yes,12.0,82000.0,,Public Accounting,Medium,Female,Tax,50.0
I have already exited from a Big 4 Accounting firm,Yes,8.0,96000.0,4.0,Government,Medium,Male,Audit,
I am currently working at a Big 4 accounting firm,Yes,12.0,105000.0,,Public Accounting,Medium,Female,Audit,45.0
I am currently working at a Big 4 accounting firm,Yes,12.0,255000.0,,Public Accounting,Medium,Undisclosed,Tax,45.0
I am currently working at a Big 4 accounting firm,Yes,12.0,530000.0,,Public Accounting,High,Male,Tax,55.0
I am currently working at a Big 4 accounting firm,Yes,12.0,140000.0,,Public Accounting,Medium,Male,Tax,40.0
I have already exited from a mid-tier or local accounting firm,Yes,12.0,130000.0,5.0,Other,High,Male,Audit,45.0
I have never worked at a public accounting firm,Yes,12.0,185000.0,,Other,Medium,Male,Other,45.0
I am currently working at a Big 4 accounting firm,Yes,12.0,245000.0,,Public Accounting,High,Male,Tax,50.0
I have never worked at a public accounting firm,No,12.0,152000.0,,Finance,High,Female,Other,41.0
I am currently working at a mid-tier or local accounting firm,Yes,13.0,155000.0,,Public Accounting,Medium,Undisclosed,Tax,
I am currently working at a Big 4 accounting firm,Yes,13.0,130000.0,,Public Accounting,Low,Male,Tax,
I have already exited from a mid-tier or local accounting firm,Yes,13.0,130000.0,7.0,Government,Medium,Male,Tax,
I have already exited from a Big 4 Accounting firm,Yes,13.0,170000.0,10.0,Finance,Medium,Male,Tax,
I have never worked at a public accounting firm,No,13.0,50000.0,,Technology,Medium,Female,Advisory,45.0
I have already exited from a mid-tier or local accounting firm,Yes,13.0,130000.0,3.0,Finance,Medium,Male,Audit,40.0
I have never worked at a public accounting firm,Yes,13.0,100000.0,,Finance,Medium,Male,Advisory,
I have already exited from a Big 4 Accounting firm,Yes,7.5,175000.0,4.0,Government,High,Male,Forensic,40.0
I have already exited from a Big 4 Accounting firm,Yes,7.0,150000.0,1.0,Hospitality,High,Male,Tax,60.0
I have already exited from a mid-tier or local accounting firm,Yes,15.0,90000.0,4.0,Technology,Low,Female,Other,
I have already exited from a mid-tier or local accounting firm,Yes,15.0,190000.0,9.0,Technology,Medium,Male,Advisory,
I have never worked at a public accounting firm,No,15.0,105000.0,,Other,Low,Male,Other,
I have already exited from a Big 4 Accounting firm,No,7.0,190000.0,7.0,Technology,High,Undisclosed,Tax,40.0
I am currently working at a Big 4 accounting firm,No,15.0,750000.0,,Public Accounting,High,Undisclosed,Tax,80.0
I have already exited from a mid-tier or local accounting firm,Yes,15.0,135000.0,5.0,Agriculture/Food processing,Medium,Male,Audit,45.0
I have already exited from a Big 4 Accounting firm,Yes,7.0,120300.0,3.0,Manufacturing,Medium,Male,Tax,45.0
I have never worked at a public accounting firm,No,16.0,113000.0,,Other,Medium,Female,Other,
I have already exited from a Big 4 Accounting firm,Yes,8.0,187500.0,5.0,Energy,Medium,Male,Audit,
I have never worked at a public accounting firm,No,18.0,100000.0,,Technology,Medium,Male,Finance,
I have never worked at a public accounting firm,No,18.0,60000.0,,Energy,High,Female,Other,
I am currently working at a mid-tier or local accounting firm,Yes,20.0,175000.0,,Public Accounting,Medium,Undisclosed,Other,45.0
I have already exited from a Big 4 Accounting firm,No,7.0,140000.0,6.0,Finance,High,Male,Tax,45.0
I have never worked at a public accounting firm,Yes,25.0,113000.0,,Other,Low,Undisclosed,Other,
I have already exited from a Big 4 Accounting firm,Yes,8.0,118000.0,4.0,Finance,High,Male,Audit,37.0
I am still in school,No,3.0,72000.0,,Other,Low,Male,Other,
I am currently working at a Big 4 accounting firm,Finishing Exp Req,3.0,70000.0,,Public Accounting,High,Male,Audit,
I am currently working at a mid-tier or local accounting firm,No,3.0,48000.0,,Public Accounting,Medium,Male,Audit,
I am still in school,No,3.0,72000.0,,Public Accounting,Medium,Male,Audit,
I am still in school,No,3.0,72000.0,,Medical,High,Male,Other,
I am still in school,No,3.0,72000.0,,Other,Low,Male,Other,
I am still in school,No,3.0,72000.0,,Other,Medium,Male,Other,
I am currently working at a Big 4 accounting firm,No,3.0,60000.0,,Public Accounting,Low,Male,Tax,
I am still in school,No,3.0,56000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a Big 4 accounting firm,Finishing Exp Req,3.0,72000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a Big 4 accounting firm,No,3.0,59000.0,,Public Accounting,High,Male,Audit,
I am currently working at a Big 4 accounting firm,Finishing Exp Req,3.0,56000.0,,Public Accounting,Medium,Male,Tax,
I am currently working at a Big 4 accounting firm,No,3.0,70000.0,,Public Accounting,High,Male,Tax,
I am still in school,No,3.0,72000.0,,Other,Medium,Undisclosed,Other,
I am currently working at a mid-tier or local accounting firm,No,3.0,46020.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a Big 4 accounting firm,No,3.0,60000.0,,Public Accounting,High,Male,Audit,
I am still in school,No,3.0,72000.0,,Public Accounting,Medium,Male,Advisory,
I have never worked at a public accounting firm,No,3.0,55000.0,,Manufacturing,Medium,Male,Audit,
I am currently working at a Big 4 accounting firm,No,3.0,62000.0,,Public Accounting,High,Female,Advisory,
I am still in school,No,3.0,72000.0,,Public Accounting,High,Male,Audit,
I am still in school,No,3.0,72000.0,,Other,Medium,Male,Other,
I am still in school,No,3.0,72000.0,,Other,Medium,Male,Other,
I have never worked at a public accounting firm,No,3.0,230000.0,,Finance,High,Male,Other,
I am still in school,No,3.0,72000.0,,Public Accounting,High,Male,Audit,
I am currently working at a mid-tier or local accounting firm,No,3.0,64500.0,,Public Accounting,High,Male,Tax,
I am currently working at a mid-tier or local accounting firm,No,3.0,61000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a mid-tier or local accounting firm,No,3.0,72000.0,,Public Accounting,High,Male,Advisory,
I have never worked at a public accounting firm,No,3.0,68000.0,,Finance,High,Male,Other,
I am currently working at a Big 4 accounting firm,No,3.0,95000.0,,Public Accounting,Medium,Male,Advisory,
I am currently working at a Big 4 accounting firm,No,3.0,104000.0,,Public Accounting,High,Male,Tax,
I am still in school,No,3.0,72000.0,,Public Accounting,Medium,Male,Tax,
I am still in school,No,3.0,72000.0,,Other,Medium,Male,Other,
I have never worked at a public accounting firm,No,3.0,72000.0,,Other,Medium,Female,Other,
I am currently working at a Big 4 accounting firm,No,3.0,38000.0,,Public Accounting,Medium,Male,Other,
I am still in school,No,3.0,72000.0,,Public Accounting,High,Male,Tax,
I am still in school,No,3.0,72000.0,,Public Accounting,Medium,Male,Audit,
I am still in school,No,3.0,125000.0,,Other,High,Undisclosed,Advisory,
I am currently working at a Big 4 accounting firm,No,3.0,68000.0,,Public Accounting,High,Female,Tax,
I am currently working at a mid-tier or local accounting firm,No,3.0,63000.0,,Public Accounting,High,Male,Tax,
I have never worked at a public accounting firm,No,3.0,67000.0,,Finance,Medium,Male,Advisory,
I am currently working at a mid-tier or local accounting firm,No,3.0,59000.0,,Public Accounting,High,Female,Tax,
I am currently working at a Big 4 accounting firm,Finishing Exp Req,3.0,101000.0,,Public Accounting,High,Undisclosed,Advisory,
I am currently working at a Big 4 accounting firm,No,3.0,75000.0,,Public Accounting,High,Female,Advisory,
I am currently working at a mid-tier or local accounting firm,No,3.0,55500.0,,Public Accounting,Medium,Male,Audit,
I am still in school,No,3.0,30000.0,,Construction,Medium,Male,Other,
I am still in school,No,3.0,72000.0,,Other,High,Male,Tax,
I am still in school,No,3.0,72000.0,,Other,Medium,Male,Other,
I am currently working at a mid-tier or local accounting firm,No,3.0,58000.0,,Public Accounting,Medium,Female,Tax,
I am currently working at a Big 4 accounting firm,No,3.0,62000.0,,Public Accounting,High,Male,Audit,
I am currently working at a Big 4 accounting firm,No,3.0,61000.0,,Public Accounting,High,Male,Tax,50.0
I am currently working at a Big 4 accounting firm,No,3.0,78000.0,,Public Accounting,High,Male,Advisory,50.0
I am currently working at a mid-tier or local accounting firm,No,3.0,69000.0,,Public Accounting,Medium,Male,Tax,50.0
I am currently working at a mid-tier or local accounting firm,No,3.0,50000.0,,Public Accounting,Low,Female,Audit,43.0
I am currently working at a Big 4 accounting firm,No,3.0,57000.0,,Public Accounting,Medium,Male,Tax,53.0
I am currently working at a Big 4 accounting firm,No,3.0,72000.0,,Public Accounting,High,Female,Advisory,50.0
I am currently working at a mid-tier or local accounting firm,No,3.0,160000.0,,Public Accounting,High,Male,Advisory,45.0
I have never worked at a public accounting firm,No,3.0,47500.0,,Medical,Medium,Male,Audit,40.0
I am currently working at a Big 4 accounting firm,No,3.0,72000.0,,Public Accounting,Medium,Male,Other,
I am currently working at a Big 4 accounting firm,No,3.0,72000.0,,Public Accounting,Medium,Male,Other,
I am currently working at a Big 4 accounting firm,Finishing Exp Req,3.0,55500.0,,Public Accounting,Low,Male,Audit,55.0
I am still in school,No,3.0,57700.0,,Public Accounting,Low,Male,Audit,
I am still in school,No,3.0,57700.0,,Public Accounting,Low,Male,Audit,
I am still in school,No,3.0,63000.0,,Public Accounting,Medium,Female,Advisory,
I am currently working at a mid-tier or local accounting firm,No,3.0,65000.0,,Public Accounting,High,Male,Audit,48.0
I am currently working at a mid-tier or local accounting firm,No,3.0,90000.0,,Public Accounting,Medium,Male,Advisory,50.0
I am currently working at a Big 4 accounting firm,Finishing Exp Req,3.0,52000.0,,Public Accounting,Medium,Female,Audit,
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,3.0,62000.0,,Public Accounting,High,Female,Audit,42.0
I am still in school,No,3.0,54500.0,,Other,Medium,Undisclosed,Audit,
I am currently working at a Big 4 accounting firm,No,3.0,60000.0,,Public Accounting,High,Male,Audit,45.0
I am currently working at a mid-tier or local accounting firm,No,3.0,57000.0,,Public Accounting,High,Male,Audit,40.0
I have already exited from a Big 4 Accounting firm,Yes,7.0,97000.0,2.0,Manufacturing,High,Male,Tax,40.0
I am currently working at a Big 4 accounting firm,Finishing Exp Req,3.0,51000.0,,Public Accounting,Low,Female,Audit,40.0
I am still in school,No,3.0,72000.0,,Other,Medium,Male,Other,45.314043209876544
I am still in school,No,3.0,72000.0,,Public Accounting,Medium,Male,Tax,
I am currently working at a mid-tier or local accounting firm,No,3.0,50000.0,,Public Accounting,Medium,Female,Tax,40.0
I am still in school,No,3.0,72000.0,,Other,Medium,Female,Other,
I have never worked at a public accounting firm,No,3.0,71000.0,,Manufacturing,Low,Male,Audit,40.0
I am still in school,No,3.0,53000.0,,Public Accounting,Medium,Male,Audit,
I am still in school,No,3.0,59000.0,,Public Accounting,Medium,Female,Audit,
I am currently working at a mid-tier or local accounting firm,No,3.0,63000.0,,Public Accounting,Medium,Male,Tax,
I am still in school,No,3.0,72000.0,,Public Accounting,High,Male,Advisory,
I am currently working at a mid-tier or local accounting firm,No,3.0,55500.0,,Public Accounting,Low,Male,Advisory,
I am currently working at a Big 4 accounting firm,No,3.0,68000.0,,Public Accounting,High,Male,Tax,50.0
I am still in school,No,3.0,72000.0,,Public Accounting,High,Male,Tax,
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,3.0,77000.0,,Public Accounting,High,Male,Tax,40.0
I am currently working at a mid-tier or local accounting firm,No,3.0,53000.0,,Public Accounting,Low,Female,Tax,50.0
I am still in school,No,3.0,69000.0,,Public Accounting,High,Male,Audit,
I am currently working at a Big 4 accounting firm,No,3.0,47500.0,,Public Accounting,Medium,Female,Audit,40.0
I am currently working at a Big 4 accounting firm,No,3.0,71000.0,,Public Accounting,Medium,Male,Advisory,50.0
I have never worked at a public accounting firm,No,3.0,53000.0,,Government,Medium,Male,Audit,40.0
I am currently working at a Big 4 accounting firm,No,3.0,62000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a Big 4 accounting firm,No,1.0,56000.0,,Public Accounting,Low,Male,Audit,55.0
I have already exited from a mid-tier or local accounting firm,Yes,5.0,99000.0,4.5,Energy,Medium,Male,Audit,40.0
I am currently working at a Big 4 accounting firm,Yes,15.0,171900.0,,Public Accounting,High,Male,Tax,45.0
I am currently working at a mid-tier or local accounting firm,No,4.0,68000.0,,Public Accounting,Medium,Male,Tax,50.0
I am currently working at a Big 4 accounting firm,No,0.5,54200.0,,Public Accounting,Low,Undisclosed,Tax,60.0
I am currently working at a mid-tier or local accounting firm,Yes,4.0,74000.0,,Public Accounting,High,Male,Tax,
I have never worked at a public accounting firm,No,10.0,115000.0,,Manufacturing,Low,Male,Other,45.0
I am currently working at a Big 4 accounting firm,No,3.0,53000.0,,Public Accounting,Low,Female,Audit,50.0
I have already exited from a Big 4 Accounting firm,No,4.0,50000.0,1.5,Medical,Medium,Male,Other,45.0
I am currently working at a mid-tier or local accounting firm,No,2.0,55000.0,,Public Accounting,Medium,Female,Advisory,40.0
I have never worked at a public accounting firm,No,8.0,105000.0,,Government,High,Female,Advisory,40.0
I am currently working at a mid-tier or local accounting firm,No,2.0,70000.0,,Public Accounting,High,Male,Audit,50.0
I have never worked at a public accounting firm,No,3.0,55000.0,,Manufacturing,High,Male,Other,55.0
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,1.0,60000.0,,Public Accounting,High,Female,Audit,50.0
I have never worked at a public accounting firm,No,10.0,100000.0,,Hospitality,High,Male,Corporate,60.0
I have never worked at a public accounting firm,Yes,15.0,225000.0,,Medical,Low,Male,Finance,40.0
I am currently working at a Big 4 accounting firm,Yes,3.0,80000.0,,Public Accounting,High,Male,Tax,55.0
I have already exited from a Big 4 Accounting firm,Yes,7.5,135000.0,7.0,Technology,High,Male,Tax,35.0
I am currently working at a mid-tier or local accounting firm,Yes,12.0,101000.0,,Public Accounting,Medium,Male,Audit,47.0
I am currently working at a mid-tier or local accounting firm,No,4.0,69700.0,,Public Accounting,Low,Male,Audit,50.0
I am currently working at a mid-tier or local accounting firm,No,1.0,51000.0,,Public Accounting,Low,Male,Other,40.0
I am currently working at a Big 4 accounting firm,No,11.0,305000.0,,Public Accounting,Medium,Male,Tax,45.0
I am currently working at a Big 4 accounting firm,No,1.5,61000.0,,Public Accounting,High,Male,Tax,60.0
I am currently working at a Big 4 accounting firm,Yes,3.0,71000.0,,Public Accounting,Medium,Female,Tax,55.0
I have never worked at a public accounting firm,No,8.0,70000.0,,Medical,Low,Male,Other,30.0
I am currently working at a mid-tier or local accounting firm,Yes,16.0,190000.0,,Public Accounting,High,Male,Audit,50.0
I have never worked at a public accounting firm,No,10.0,112000.0,,Hospitality,Low,Male,Other,40.0
I am currently working at a Big 4 accounting firm,Yes,3.0,86000.0,,Public Accounting,High,Male,Tax,60.0
I have never worked at a public accounting firm,Yes,2.0,62000.0,,Other,Low,Male,Audit,40.0
I am currently working at a mid-tier or local accounting firm,No,1.5,50321.0,,Public Accounting,Medium,Male,Audit,45.0
I am currently working at a mid-tier or local accounting firm,No,1.0,57000.0,,Public Accounting,Medium,Female,Audit,50.0
I am currently working at a Big 4 accounting firm,No,1.0,135000.0,,Public Accounting,High,Male,Tax,40.0
I have never worked at a public accounting firm,No,2.0,50000.0,,Transportation,High,Male,Other,50.0
I have already exited from a mid-tier or local accounting firm,Yes,3.5,72000.0,3.4,Government,Medium,Female,Audit,40.0
I have already exited from a Big 4 Accounting firm,Yes,8.0,128000.0,3.0,Other,High,Male,Finance,45.0
I am currently working at a mid-tier or local accounting firm,No,2.0,67000.0,,Public Accounting,Medium,Female,Audit,45.0
I have already exited from a mid-tier or local accounting firm,Yes,5.0,82500.0,2.5,Other,Medium,Female,Audit,45.0
I am currently working at a mid-tier or local accounting firm,Yes,7.0,123000.0,,Public Accounting,High,Female,Tax,43.0
I have never worked at a public accounting firm,No,6.0,101500.0,,Other,Medium,Male,Other,50.0
I am currently working at a Big 4 accounting firm,No,2.0,65000.0,,Public Accounting,Medium,Male,Audit,50.0
I have never worked at a public accounting firm,No,10.0,230000.0,,Finance,Low,Male,Advisory,60.0
I have already exited from a Big 4 Accounting firm,Yes,9.0,300000.0,3.0,Technology,High,Male,Audit,
I am currently working at a mid-tier or local accounting firm,Yes,2.0,62000.0,,Public Accounting,Medium,Male,Audit,42.0
I am currently working at a mid-tier or local accounting firm,Yes,2.0,64000.0,,Public Accounting,Medium,Male,Audit,50.0
I am currently working at a mid-tier or local accounting firm,Yes,3.0,54600.0,,Public Accounting,Medium,Male,Audit,48.0
I am currently working at a mid-tier or local accounting firm,Yes,5.5,67000.0,,Public Accounting,Medium,Male,Tax,45.0
I have already exited from a mid-tier or local accounting firm,No,3.0,65500.0,0.333,Other,Medium,Female,Advisory,40.0
I am currently working at a Big 4 accounting firm,Yes,4.0,72000.0,,Public Accounting,Medium,Male,Audit,45.0
I am currently working at a mid-tier or local accounting firm,No,1.0,55000.0,,Public Accounting,Low,Male,Tax,50.0
I am currently working at a mid-tier or local accounting firm,No,1.0,63000.0,,Public Accounting,High,Male,Tax,40.0
I have already exited from a Big 4 Accounting firm,Yes,9.5,141000.0,2.5,Other,Medium,Male,Other,40.0
I have never worked at a public accounting firm,No,5.0,112000.0,,Other,High,Female,Other,35.0
I have already exited from a Big 4 Accounting firm,No,8.0,176250.0,3.0,Technology,High,Male,Tax,55.0
I have already exited from a mid-tier or local accounting firm,Yes,3.0,72000.0,3.0,Other,Low,Male,Advisory,45.0
I have never worked at a public accounting firm,No,5.0,80000.0,,Other,Medium,Female,Other,45.0
I have never worked at a public accounting firm,No,5.0,80000.0,,Other,Medium,Female,Other,45.0
I have already exited from a Big 4 Accounting firm,Yes,9.0,119000.0,7.0,Agriculture/Food processing,Medium,Female,Audit,35.0
I have already exited from a mid-tier or local accounting firm,Yes,7.0,85000.0,5.0,Energy,Medium,Male,Tax,40.0
I am currently working at a mid-tier or local accounting firm,No,2.0,44000.0,,Public Accounting,Medium,Male,Tax,40.0
I am currently working at a mid-tier or local accounting firm,Yes,3.5,58000.0,,Public Accounting,Low,Male,Audit,45.0
I have already exited from a Big 4 Accounting firm,Yes,9.0,130000.0,2.0,Finance,High,Male,Tax,45.0
I am currently working at a mid-tier or local accounting firm,Yes,7.5,102000.0,,Public Accounting,Medium,Male,Tax,50.0
I have already exited from a Big 4 Accounting firm,Yes,9.0,132000.0,2.0,Technology,Medium,Female,Audit,45.0
I have never worked at a public accounting firm,No,3.0,75000.0,,Technology,High,Male,Other,60.0
I am currently working at a mid-tier or local accounting firm,Yes,12.0,103000.0,,Public Accounting,Low,Male,Tax and Audit,45.0
I am currently working at a Big 4 accounting firm,Yes,4.0,104000.0,,Public Accounting,High,Female,Tax,55.0
I am currently working at a Big 4 accounting firm,Yes,4.0,104000.0,,Public Accounting,High,Female,Tax,55.0
I am currently working at a Big 4 accounting firm,No,3.0,72000.0,,Public Accounting,High,Male,Advisory,
I am currently working at a mid-tier or local accounting firm,Yes,2.5,58300.0,,Public Accounting,Medium,Male,Audit,47.0
I am still in school,No,3.0,72000.0,,Other,Medium,Male,Other,
I have never worked at a public accounting firm,No,1.0,67000.0,,Technology,High,Male,Other,45.0
I am currently working at a mid-tier or local accounting firm,No,3.0,67000.0,,Public Accounting,High,Male,Tax,30.0
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,3.0,60000.0,,Public Accounting,Medium,Male,Advisory,55.0
I am currently working at a Big 4 accounting firm,Yes,2.0,80000.0,,Public Accounting,High,Male,Audit,45.0
I am currently working at a mid-tier or local accounting firm,Yes,2.0,63000.0,,Public Accounting,High,Male,Audit,60.0
I am currently working at a mid-tier or local accounting firm,No,2.5,62000.0,,Public Accounting,High,Female,Tax,45.0
I have never worked at a public accounting firm,No,1.0,45000.0,,Medical,High,Male,Other,40.0
I am currently working at a Big 4 accounting firm,No,2.0,66000.0,,Public Accounting,High,Male,Audit,45.0
I am currently working at a Big 4 accounting firm,Yes,3.0,65500.0,,Public Accounting,Medium,Male,Audit,50.0
I have never worked at a public accounting firm,Yes,13.0,175000.0,,Other,High,Male,Advisory,40.0
I am currently working at a mid-tier or local accounting firm,No,1.0,54000.0,,Public Accounting,Medium,Male,Tax,40.0
I have never worked at a public accounting firm,Yes,10.0,77000.0,,Government,Medium,Female,Audit,40.0
I have already exited from a Big 4 Accounting firm,Yes,10.0,148000.0,5.0,Manufacturing,High,Male,Audit,
I am currently working at a Big 4 accounting firm,Finishing Exp Req,0.5,59000.0,,Public Accounting,Medium,Male,Tax,45.0
I have already exited from a Big 4 Accounting firm,Yes,14.0,185000.0,8.0,Technology,Medium,Male,Advisory,
I have already exited from a Big 4 Accounting firm,Yes,10.5,180000.0,7.0,Finance,Medium,Male,Audit,45.0
I have already exited from a mid-tier or local accounting firm,Yes,2.0,66500.0,2.0,Medical,Low,Female,Tax,40.0
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,1.0,60000.0,,Public Accounting,Low,Male,Other,44.0
I am currently working at a mid-tier or local accounting firm,No,3.0,56000.0,,Public Accounting,Medium,Male,Tax,50.0
I have already exited from a Big 4 Accounting firm,Yes,11.0,340000.0,5.0,Finance,High,Male,Tax,50.0
I am currently working at a mid-tier or local accounting firm,No,1.5,60000.0,,Public Accounting,Medium,Female,Tax,43.0
I am currently working at a mid-tier or local accounting firm,Yes,7.0,87000.0,,Public Accounting,Low,Male,Tax,45.0
I am currently working at a mid-tier or local accounting firm,Yes,3.0,72000.0,,Public Accounting,High,Male,Audit,45.0
I am currently working at a mid-tier or local accounting firm,Yes,3.0,72000.0,,Public Accounting,High,Male,Audit,45.0
I have already exited from a Big 4 Accounting firm,Yes,12.0,127600.0,3.0,Other,Medium,Male,Audit,45.0
I am currently working at a Big 4 accounting firm,Finishing Exp Req,1.0,65000.0,,Public Accounting,High,Undisclosed,Audit,50.0
I am currently working at a Big 4 accounting firm,No,1.0,63300.0,,Public Accounting,High,Male,Audit,50.0
I have already exited from a mid-tier or local accounting firm,Yes,8.0,102000.0,4.0,Construction,Low,Male,Tax,40.0
I am currently working at a mid-tier or local accounting firm,No,7.0,136000.0,,Public Accounting,Medium,Male,Advisory,45.0
I am currently working at a Big 4 accounting firm,Yes,2.0,67600.0,,Public Accounting,Medium,Male,Advisory,50.0
I am currently working at a Big 4 accounting firm,No,1.0,52000.0,,Public Accounting,Medium,Female,Tax,55.0
I am currently working at a Big 4 accounting firm,Yes,2.0,55400.0,,Public Accounting,Medium,Male,Audit,45.0
I am currently working at a Big 4 accounting firm,Yes,7.0,100000.0,,Public Accounting,Medium,Male,Audit,35.0
I am currently working at a mid-tier or local accounting firm,Yes,5.0,120000.0,,Public Accounting,High,Male,Audit,47.0
I have already exited from a Big 4 Accounting firm,Yes,12.0,170000.0,8.0,Manufacturing,High,Female,Tax,45.0
I am currently working at a Big 4 accounting firm,No,3.0,59000.0,,Public Accounting,Medium,Male,Audit,
I have never worked at a public accounting firm,No,5.0,68000.0,,Technology,Medium,Male,Other,40.0
I have already exited from a mid-tier or local accounting firm,Yes,4.0,95000.0,3.0,Finance,High,Male,Audit,45.0
I am currently working at a Big 4 accounting firm,No,8.0,119000.0,,Public Accounting,High,Male,Advisory,45.0
I am currently working at a Big 4 accounting firm,Finishing Exp Req,1.0,57000.0,,Public Accounting,High,Female,Audit,70.0
I have never worked at a public accounting firm,No,1.0,59000.0,,Other,Medium,Female,Audit,42.0
I am currently working at a Big 4 accounting firm,No,1.0,51000.0,,Public Accounting,Low,Male,Audit,48.0
I am currently working at a mid-tier or local accounting firm,Yes,4.0,72000.0,,Public Accounting,Low,Male,Audit,46.0
I am currently working at a mid-tier or local accounting firm,No,2.0,68000.0,,Public Accounting,High,Male,Audit,45.0
I am currently working at a mid-tier or local accounting firm,No,3.5,67500.0,,Public Accounting,High,Male,Other,37.5
I am currently working at a Big 4 accounting firm,No,2.0,58000.0,,Public Accounting,Medium,Male,Audit,45.0
I have never worked at a public accounting firm,No,8.0,52000.0,,Other,Medium,Female,Advisory,40.0
I am currently working at a mid-tier or local accounting firm,No,3.0,70000.0,,Public Accounting,High,Female,Audit,45.0
I am currently working at a Big 4 accounting firm,Yes,5.0,88000.0,,Public Accounting,Medium,Male,Audit,55.0
I am still in school,No,1.0,72000.0,,Public Accounting,Medium,Male,Tax,45.314043209876544
I have already exited from a mid-tier or local accounting firm,Yes,8.0,90000.0,4.0,Medical,Medium,Male,Audit,50.0
I have already exited from a mid-tier or local accounting firm,Yes,8.0,90000.0,4.0,Medical,Medium,Male,Audit,50.0
I am currently working at a Big 4 accounting firm,Yes,4.0,94000.0,,Public Accounting,High,Male,Other,45.0
I have never worked at a public accounting firm,No,10.0,250000.0,,Energy,Medium,Male,Other,45.0
I am currently working at a Big 4 accounting firm,No,3.0,60000.0,,Public Accounting,High,Male,Tax,40.0
